expt	item	interference	position	word	region	grammatical	iteration
gug	16	b	2	who	R1	full	0
gug	16	b	3	the	D2	full	0
gug	16	b	4	film	N2	full	0
gug	16	b	5	that	R2	full	0
gug	16	b	6	the	D3	full	0
gug	16	b	7	friend	N3	full	0
gug	16	b	8	liked	V1	full	0
gug	16	b	9	disturbed	V2	full	0
gug	16	b	10	admired	V3	full	0
gug	16	b	11	the	D4	full	0
gug	16	b	12	poet.	N4	full	0
gug	11	a	0	The	D1	full	0
gug	11	a	1	clerk	N1	full	0
gug	11	a	2	who	R1	full	0
gug	11	a	3	the	D2	full	0
gug	11	a	4	bureaucrat	N2	full	0
gug	11	a	5	that	R2	full	0
gug	11	a	6	the	D3	full	0
gug	11	a	7	visitor	N3	full	0
gug	11	a	8	forgotten_about	V1	full	0
gug	11	a	9	helped	V2	full	0
gug	11	a	10	annoyed	V3	full	0
gug	11	a	11	the	D4	full	0
gug	11	a	12	neighbor.	N4	full	0
gug	3	a	0	The	D1	full	0
gug	3	a	1	worker	N1	full	0
gug	3	a	2	who	R1	full	0
gug	3	a	3	the	D2	full	0
gug	3	a	4	tenant	N2	full	0
gug	3	a	5	that	R2	full	0
gug	3	a	6	the	D3	full	0
gug	3	a	7	foreman	N3	full	0
gug	3	a	8	looked_for	V1	full	0
gug	3	a	9	injured	V2	full	0
gug	3	a	10	questioned	V3	full	0
gug	3	a	11	the	D4	full	0
gug	3	a	12	shepherd.	N4	full	0
gug	14	b	0	The	D1	full	0
gug	14	b	1	defence	N1	full	0
gug	14	b	2	who	R1	full	0
gug	14	b	3	the	D2	full	0
gug	14	b	4	knife	N2	full	0
gug	14	b	5	that	R2	full	0
gug	14	b	6	the	D3	full	0
gug	14	b	7	spy	N3	full	0
gug	14	b	8	looked_at	V1	full	0
gug	14	b	9	surprised	V2	full	0
gug	14	b	10	convinced	V3	full	0
gug	14	b	11	the	D4	full	0
gug	14	b	12	judge.	N4	full	0
gug	6	b	0	The	D1	full	0
gug	6	b	1	saxophonist	N1	full	0
gug	6	b	2	who	R1	full	0
gug	6	b	3	the	D2	full	0
gug	6	b	4	baton	N2	full	0
gug	6	b	5	that	R2	full	0
gug	6	b	6	the	D3	full	0
gug	6	b	7	conductor	N3	full	0
gug	6	b	8	brought_along	V1	full	0
gug	6	b	9	distracted	V2	full	0
gug	6	b	10	thanked	V3	full	0
gug	6	b	11	the	D4	full	0
gug	6	b	12	violinist.	N4	full	0
gug	6	b	0	The	D1	RemovedV2	0
gug	6	b	1	saxophonist	N1	RemovedV2	0
gug	6	b	2	who	R1	RemovedV2	0
gug	6	b	3	the	D2	RemovedV2	0
gug	6	b	4	baton	N2	RemovedV2	0
gug	6	b	5	that	R2	RemovedV2	0
gug	6	b	6	the	D3	RemovedV2	0
gug	6	b	7	conductor	N3	RemovedV2	0
gug	6	b	8	brought_along	V1	RemovedV2	0
gug	6	b	9	thanked	V3	RemovedV2	0
gug	6	b	10	the	D4	RemovedV2	0
gug	6	b	11	violinist.	N4	RemovedV2	0
gug	2	b	0	The	D1	full	0
gug	2	b	1	mother	N1	full	0
gug	2	b	2	who	R1	full	0
gug	2	b	3	the	D2	full	0
gug	2	b	4	gun	N2	full	0
gug	2	b	5	that	R2	full	0
gug	2	b	6	the	D3	full	0
gug	2	b	7	sister	N3	full	0
gug	2	b	8	found	V1	full	0
gug	2	b	9	frightened	V2	full	0
gug	2	b	10	greeted	V3	full	0
gug	2	b	11	the	D4	full	0
gug	2	b	12	grandmother.	N4	full	0
gug	9	a	0	The	D1	full	0
gug	9	a	1	dancer	N1	full	0
gug	9	a	2	who	R1	full	0
gug	9	a	3	the	D2	full	0
gug	9	a	4	singer	N2	full	0
gug	9	a	5	that	R2	full	0
gug	9	a	6	the	D3	full	0
gug	9	a	7	bystander	N3	full	0
gug	9	a	8	admired	V1	full	0
gug	9	a	9	hurt	V2	full	0
gug	9	a	10	tipped	V3	full	0
gug	9	a	11	the	D4	full	0
gug	9	a	12	doorman.	N4	full	0
gug	1	b	0	The	D1	full	0
gug	1	b	1	carpenter	N1	full	0
gug	1	b	2	who	R1	full	0
gug	1	b	3	the	D2	full	0
gug	1	b	4	pillar	N2	full	0
gug	1	b	5	that	R2	full	0
gug	1	b	6	the	D3	full	0
gug	1	b	7	peasant	N3	full	0
gug	1	b	8	carried	V1	full	0
gug	1	b	9	hurt	V2	full	0
gug	1	b	10	supervised	V3	full	0
gug	1	b	11	the	D4	full	0
gug	1	b	12	apprentice.	N4	full	0
gug	7	a	0	The	D1	full	0
gug	7	a	1	pharmacist	N1	full	0
gug	7	a	2	who	R1	full	0
gug	7	a	3	the	D2	full	0
gug	7	a	4	optician	N2	full	0
gug	7	a	5	that	R2	full	0
gug	7	a	6	the	D3	full	0
gug	7	a	7	stranger	N3	full	0
gug	7	a	8	saw	V1	full	0
gug	7	a	9	troubled	V2	full	0
gug	7	a	10	questioned	V3	full	0
gug	7	a	11	the	D4	full	0
gug	7	a	12	customer.	N4	full	0
gug	5	b	0	The	D1	full	0
gug	5	b	1	painter	N1	full	0
gug	5	b	2	who	R1	full	0
gug	5	b	3	the	D2	full	0
gug	5	b	4	hut	N2	full	0
gug	5	b	5	that	R2	full	0
gug	5	b	6	the	D3	full	0
gug	5	b	7	father	N3	full	0
gug	5	b	8	missed	V1	full	0
gug	5	b	9	sheltered	V2	full	0
gug	5	b	10	cooked_for	V3	full	0
gug	5	b	11	the	D4	full	0
gug	5	b	12	artist.	N4	full	0
gug	4	a	0	The	D1	RemovedV1	0
gug	4	a	1	trader	N1	RemovedV1	0
gug	4	a	2	who	R1	RemovedV1	0
gug	4	a	3	the	D2	RemovedV1	0
gug	4	a	4	businessman	N2	RemovedV1	0
gug	4	a	5	that	R2	RemovedV1	0
gug	4	a	6	the	D3	RemovedV1	0
gug	4	a	7	professor	N3	RemovedV1	0
gug	4	a	8	confused	V2	RemovedV1	0
gug	4	a	9	annoyed	V3	RemovedV1	0
gug	4	a	10	the	D4	RemovedV1	0
gug	4	a	11	investor.	N4	RemovedV1	0
gug	10	b	0	The	D1	RemovedV1	0
gug	10	b	1	artist	N1	RemovedV1	0
gug	10	b	2	who	R1	RemovedV1	0
gug	10	b	3	the	D2	RemovedV1	0
gug	10	b	4	computer	N2	RemovedV1	0
gug	10	b	5	that	R2	RemovedV1	0
gug	10	b	6	the	D3	RemovedV1	0
gug	10	b	7	guard	N3	RemovedV1	0
gug	10	b	8	annoyed	V2	RemovedV1	0
gug	10	b	9	instructed	V3	RemovedV1	0
gug	10	b	10	the	D4	RemovedV1	0
gug	10	b	11	newscaster.	N4	RemovedV1	0
gug	10	b	0	The	D1	full	0
gug	10	b	1	artist	N1	full	0
gug	10	b	2	who	R1	full	0
gug	10	b	3	the	D2	full	0
gug	10	b	4	computer	N2	full	0
gug	10	b	5	that	R2	full	0
gug	10	b	6	the	D3	full	0
gug	10	b	7	guard	N3	full	0
gug	10	b	8	shouted_at	V1	full	0
gug	10	b	9	annoyed	V2	full	0
gug	10	b	10	instructed	V3	full	0
gug	10	b	11	the	D4	full	0
gug	10	b	12	newscaster.	N4	full	0
gug	10	a	0	The	D1	full	0
gug	10	a	1	artist	N1	full	0
gug	10	a	2	who	R1	full	0
gug	10	a	3	the	D2	full	0
gug	10	a	4	sportsman	N2	full	0
gug	10	a	5	that	R2	full	0
gug	10	a	6	the	D3	full	0
gug	10	a	7	guard	N3	full	0
gug	10	a	8	shouted_at	V1	full	0
gug	10	a	9	annoyed	V2	full	0
gug	10	a	10	instructed	V3	full	0
gug	10	a	11	the	D4	full	0
gug	10	a	12	newscaster.	N4	full	0
gug	7	a	0	The	D1	RemovedV1	0
gug	7	a	1	pharmacist	N1	RemovedV1	0
gug	7	a	2	who	R1	RemovedV1	0
gug	7	a	3	the	D2	RemovedV1	0
gug	7	a	4	optician	N2	RemovedV1	0
gug	7	a	5	that	R2	RemovedV1	0
gug	7	a	6	the	D3	RemovedV1	0
gug	7	a	7	stranger	N3	RemovedV1	0
gug	7	a	8	troubled	V2	RemovedV1	0
gug	7	a	9	questioned	V3	RemovedV1	0
gug	7	a	10	the	D4	RemovedV1	0
gug	7	a	11	customer.	N4	RemovedV1	0
gug	2	b	0	The	D1	RemovedV1	0
gug	2	b	1	mother	N1	RemovedV1	0
gug	2	b	2	who	R1	RemovedV1	0
gug	2	b	3	the	D2	RemovedV1	0
gug	2	b	4	gun	N2	RemovedV1	0
gug	2	b	5	that	R2	RemovedV1	0
gug	2	b	6	the	D3	RemovedV1	0
gug	2	b	7	sister	N3	RemovedV1	0
gug	2	b	8	frightened	V2	RemovedV1	0
gug	2	b	9	greeted	V3	RemovedV1	0
gug	2	b	10	the	D4	RemovedV1	0
gug	2	b	11	grandmother.	N4	RemovedV1	0
gug	14	a	0	The	D1	RemovedV1	0
gug	14	a	1	defence	N1	RemovedV1	0
gug	14	a	2	who	R1	RemovedV1	0
gug	14	a	3	the	D2	RemovedV1	0
gug	14	a	4	prosecutor	N2	RemovedV1	0
gug	14	a	5	that	R2	RemovedV1	0
gug	14	a	6	the	D3	RemovedV1	0
gug	14	a	7	spy	N3	RemovedV1	0
gug	14	a	8	surprised	V2	RemovedV1	0
gug	14	a	9	convinced	V3	RemovedV1	0
gug	14	a	10	the	D4	RemovedV1	0
gug	14	a	11	judge.	N4	RemovedV1	0
gug	5	a	0	The	D1	RemovedV2	0
gug	5	a	1	painter	N1	RemovedV2	0
gug	5	a	2	who	R1	RemovedV2	0
gug	5	a	3	the	D2	RemovedV2	0
gug	5	a	4	musician	N2	RemovedV2	0
gug	5	a	5	that	R2	RemovedV2	0
gug	5	a	6	the	D3	RemovedV2	0
gug	5	a	7	father	N3	RemovedV2	0
gug	5	a	8	missed	V1	RemovedV2	0
gug	5	a	9	cooked_for	V3	RemovedV2	0
gug	5	a	10	the	D4	RemovedV2	0
gug	5	a	11	artist.	N4	RemovedV2	0
gug	14	a	0	The	D1	full	0
gug	14	a	1	defence	N1	full	0
gug	14	a	2	who	R1	full	0
gug	14	a	3	the	D2	full	0
gug	14	a	4	prosecutor	N2	full	0
gug	14	a	5	that	R2	full	0
gug	14	a	6	the	D3	full	0
gug	14	a	7	spy	N3	full	0
gug	14	a	8	looked_at	V1	full	0
gug	14	a	9	surprised	V2	full	0
gug	14	a	10	convinced	V3	full	0
gug	14	a	11	the	D4	full	0
gug	14	a	12	judge.	N4	full	0
gug	6	a	0	The	D1	RemovedV2	0
gug	6	a	1	saxophonist	N1	RemovedV2	0
gug	6	a	2	who	R1	RemovedV2	0
gug	6	a	3	the	D2	RemovedV2	0
gug	6	a	4	trumpeter	N2	RemovedV2	0
gug	6	a	5	that	R2	RemovedV2	0
gug	6	a	6	the	D3	RemovedV2	0
gug	6	a	7	conductor	N3	RemovedV2	0
gug	6	a	8	brought_along	V1	RemovedV2	0
gug	6	a	9	thanked	V3	RemovedV2	0
gug	6	a	10	the	D4	RemovedV2	0
gug	6	a	11	violinist.	N4	RemovedV2	0
gug	6	a	0	The	D1	full	0
gug	6	a	1	saxophonist	N1	full	0
gug	6	a	2	who	R1	full	0
gug	6	a	3	the	D2	full	0
gug	6	a	4	trumpeter	N2	full	0
gug	6	a	5	that	R2	full	0
gug	6	a	6	the	D3	full	0
gug	6	a	7	conductor	N3	full	0
gug	6	a	8	brought_along	V1	full	0
gug	6	a	9	distracted	V2	full	0
gug	6	a	10	thanked	V3	full	0
gug	6	a	11	the	D4	full	0
gug	6	a	12	violinist.	N4	full	0
gug	5	a	0	The	D1	RemovedV1	0
gug	5	a	1	painter	N1	RemovedV1	0
gug	5	a	2	who	R1	RemovedV1	0
gug	5	a	3	the	D2	RemovedV1	0
gug	5	a	4	musician	N2	RemovedV1	0
gug	5	a	5	that	R2	RemovedV1	0
gug	5	a	6	the	D3	RemovedV1	0
gug	5	a	7	father	N3	RemovedV1	0
gug	5	a	8	sheltered	V2	RemovedV1	0
gug	5	a	9	cooked_for	V3	RemovedV1	0
gug	5	a	10	the	D4	RemovedV1	0
gug	5	a	11	artist.	N4	RemovedV1	0
gug	12	b	0	The	D1	RemovedV2	0
gug	12	b	1	son	N1	RemovedV2	0
gug	12	b	2	who	R1	RemovedV2	0
gug	12	b	3	the	D2	RemovedV2	0
gug	12	b	4	loudspeaker	N2	RemovedV2	0
gug	12	b	5	that	R2	RemovedV2	0
gug	12	b	6	the	D3	RemovedV2	0
gug	12	b	7	teacher	N3	RemovedV2	0
gug	12	b	8	saw	V1	RemovedV2	0
gug	12	b	9	visited	V3	RemovedV2	0
gug	12	b	10	the	D4	RemovedV2	0
gug	12	b	11	grandfather.	N4	RemovedV2	0
gug	4	a	0	The	D1	full	0
gug	4	a	1	trader	N1	full	0
gug	4	a	2	who	R1	full	0
gug	4	a	3	the	D2	full	0
gug	4	a	4	businessman	N2	full	0
gug	4	a	5	that	R2	full	0
gug	4	a	6	the	D3	full	0
gug	4	a	7	professor	N3	full	0
gug	4	a	8	hired	V1	full	0
gug	4	a	9	confused	V2	full	0
gug	4	a	10	annoyed	V3	full	0
gug	4	a	11	the	D4	full	0
gug	4	a	12	investor.	N4	full	0
gug	6	a	0	The	D1	RemovedV1	0
gug	6	a	1	saxophonist	N1	RemovedV1	0
gug	6	a	2	who	R1	RemovedV1	0
gug	6	a	3	the	D2	RemovedV1	0
gug	6	a	4	trumpeter	N2	RemovedV1	0
gug	6	a	5	that	R2	RemovedV1	0
gug	6	a	6	the	D3	RemovedV1	0
gug	6	a	7	conductor	N3	RemovedV1	0
gug	6	a	8	distracted	V2	RemovedV1	0
gug	6	a	9	thanked	V3	RemovedV1	0
gug	6	a	10	the	D4	RemovedV1	0
gug	6	a	11	violinist.	N4	RemovedV1	0
gug	3	a	0	The	D1	RemovedV2	0
gug	3	a	1	worker	N1	RemovedV2	0
gug	3	a	2	who	R1	RemovedV2	0
gug	3	a	3	the	D2	RemovedV2	0
gug	3	a	4	tenant	N2	RemovedV2	0
gug	3	a	5	that	R2	RemovedV2	0
gug	3	a	6	the	D3	RemovedV2	0
gug	3	a	7	foreman	N3	RemovedV2	0
gug	3	a	8	looked_for	V1	RemovedV2	0
gug	3	a	9	questioned	V3	RemovedV2	0
gug	3	a	10	the	D4	RemovedV2	0
gug	3	a	11	shepherd.	N4	RemovedV2	0
gug	9	b	0	The	D1	full	0
gug	9	b	1	dancer	N1	full	0
gug	9	b	2	who	R1	full	0
gug	9	b	3	the	D2	full	0
gug	9	b	4	shoe	N2	full	0
gug	9	b	5	that	R2	full	0
gug	9	b	6	the	D3	full	0
gug	9	b	7	bystander	N3	full	0
gug	9	b	8	admired	V1	full	0
gug	9	b	9	hurt	V2	full	0
gug	9	b	10	tipped	V3	full	0
gug	9	b	11	the	D4	full	0
gug	9	b	12	doorman.	N4	full	0
gug	12	a	0	The	D1	full	0
gug	12	a	1	son	N1	full	0
gug	12	a	2	who	R1	full	0
gug	12	a	3	the	D2	full	0
gug	12	a	4	father	N2	full	0
gug	12	a	5	that	R2	full	0
gug	12	a	6	the	D3	full	0
gug	12	a	7	teacher	N3	full	0
gug	12	a	8	saw	V1	full	0
gug	12	a	9	disturbed	V2	full	0
gug	12	a	10	visited	V3	full	0
gug	12	a	11	the	D4	full	0
gug	12	a	12	grandfather.	N4	full	0
gug	8	a	0	The	D1	RemovedV1	0
gug	8	a	1	cleaner	N1	RemovedV1	0
gug	8	a	2	who	R1	RemovedV1	0
gug	8	a	3	the	D2	RemovedV1	0
gug	8	a	4	janitor	N2	RemovedV1	0
gug	8	a	5	that	R2	RemovedV1	0
gug	8	a	6	the	D3	RemovedV1	0
gug	8	a	7	doctor	N3	RemovedV1	0
gug	8	a	8	hurt	V2	RemovedV1	0
gug	8	a	9	surprised	V3	RemovedV1	0
gug	8	a	10	the	D4	RemovedV1	0
gug	8	a	11	patient.	N4	RemovedV1	0
gug	4	b	0	The	D1	RemovedV1	0
gug	4	b	1	trader	N1	RemovedV1	0
gug	4	b	2	who	R1	RemovedV1	0
gug	4	b	3	the	D2	RemovedV1	0
gug	4	b	4	computer	N2	RemovedV1	0
gug	4	b	5	that	R2	RemovedV1	0
gug	4	b	6	the	D3	RemovedV1	0
gug	4	b	7	professor	N3	RemovedV1	0
gug	4	b	8	confused	V2	RemovedV1	0
gug	4	b	9	annoyed	V3	RemovedV1	0
gug	4	b	10	the	D4	RemovedV1	0
gug	4	b	11	investor.	N4	RemovedV1	0
gug	12	b	0	The	D1	full	0
gug	12	b	1	son	N1	full	0
gug	12	b	2	who	R1	full	0
gug	12	b	3	the	D2	full	0
gug	12	b	4	loudspeaker	N2	full	0
gug	12	b	5	that	R2	full	0
gug	12	b	6	the	D3	full	0
gug	12	b	7	teacher	N3	full	0
gug	12	b	8	saw	V1	full	0
gug	12	b	9	disturbed	V2	full	0
gug	12	b	10	visited	V3	full	0
gug	12	b	11	the	D4	full	0
gug	12	b	12	grandfather.	N4	full	0
gug	3	b	0	The	D1	RemovedV1	0
gug	3	b	1	worker	N1	RemovedV1	0
gug	3	b	2	who	R1	RemovedV1	0
gug	3	b	3	the	D2	RemovedV1	0
gug	3	b	4	bucket	N2	RemovedV1	0
gug	3	b	5	that	R2	RemovedV1	0
gug	3	b	6	the	D3	RemovedV1	0
gug	3	b	7	foreman	N3	RemovedV1	0
gug	3	b	8	injured	V2	RemovedV1	0
gug	3	b	9	questioned	V3	RemovedV1	0
gug	3	b	10	the	D4	RemovedV1	0
gug	3	b	11	shepherd.	N4	RemovedV1	0
gug	9	b	0	The	D1	RemovedV2	0
gug	9	b	1	dancer	N1	RemovedV2	0
gug	9	b	2	who	R1	RemovedV2	0
gug	9	b	3	the	D2	RemovedV2	0
gug	9	b	4	shoe	N2	RemovedV2	0
gug	9	b	5	that	R2	RemovedV2	0
gug	9	b	6	the	D3	RemovedV2	0
gug	9	b	7	bystander	N3	RemovedV2	0
gug	9	b	8	admired	V1	RemovedV2	0
gug	9	b	9	tipped	V3	RemovedV2	0
gug	9	b	10	the	D4	RemovedV2	0
gug	9	b	11	doorman.	N4	RemovedV2	0
gug	11	a	0	The	D1	RemovedV2	0
gug	11	a	1	clerk	N1	RemovedV2	0
gug	11	a	2	who	R1	RemovedV2	0
gug	11	a	3	the	D2	RemovedV2	0
gug	11	a	4	bureaucrat	N2	RemovedV2	0
gug	11	a	5	that	R2	RemovedV2	0
gug	11	a	6	the	D3	RemovedV2	0
gug	11	a	7	visitor	N3	RemovedV2	0
gug	11	a	8	forgotten_about	V1	RemovedV2	0
gug	11	a	9	annoyed	V3	RemovedV2	0
gug	11	a	10	the	D4	RemovedV2	0
gug	11	a	11	neighbor.	N4	RemovedV2	0
gug	16	a	0	The	D1	full	0
gug	16	a	1	painter	N1	full	0
gug	16	a	2	who	R1	full	0
gug	16	a	3	the	D2	full	0
gug	16	a	4	musician	N2	full	0
gug	16	a	5	that	R2	full	0
gug	16	a	6	the	D3	full	0
gug	16	a	7	friend	N3	full	0
gug	16	a	8	liked	V1	full	0
gug	16	a	9	disturbed	V2	full	0
gug	16	a	10	admired	V3	full	0
gug	16	a	11	the	D4	full	0
gug	16	a	12	poet.	N4	full	0
gug	12	b	0	The	D1	RemovedV1	0
gug	12	b	1	son	N1	RemovedV1	0
gug	12	b	2	who	R1	RemovedV1	0
gug	12	b	3	the	D2	RemovedV1	0
gug	12	b	4	loudspeaker	N2	RemovedV1	0
gug	12	b	5	that	R2	RemovedV1	0
gug	12	b	6	the	D3	RemovedV1	0
gug	12	b	7	teacher	N3	RemovedV1	0
gug	12	b	8	disturbed	V2	RemovedV1	0
gug	12	b	9	visited	V3	RemovedV1	0
gug	12	b	10	the	D4	RemovedV1	0
gug	12	b	11	grandfather.	N4	RemovedV1	0
gug	16	a	0	The	D1	RemovedV1	0
gug	16	a	1	painter	N1	RemovedV1	0
gug	16	a	2	who	R1	RemovedV1	0
gug	16	a	3	the	D2	RemovedV1	0
gug	16	a	4	musician	N2	RemovedV1	0
gug	16	a	5	that	R2	RemovedV1	0
gug	16	a	6	the	D3	RemovedV1	0
gug	16	a	7	friend	N3	RemovedV1	0
gug	16	a	8	disturbed	V2	RemovedV1	0
gug	16	a	9	admired	V3	RemovedV1	0
gug	16	a	10	the	D4	RemovedV1	0
gug	16	a	11	poet.	N4	RemovedV1	0
gug	5	a	0	The	D1	full	0
gug	5	a	1	painter	N1	full	0
gug	5	a	2	who	R1	full	0
gug	5	a	3	the	D2	full	0
gug	5	a	4	musician	N2	full	0
gug	5	a	5	that	R2	full	0
gug	5	a	6	the	D3	full	0
gug	5	a	7	father	N3	full	0
gug	5	a	8	missed	V1	full	0
gug	5	a	9	sheltered	V2	full	0
gug	5	a	10	cooked_for	V3	full	0
gug	5	a	11	the	D4	full	0
gug	5	a	12	artist.	N4	full	0
gug	2	a	0	The	D1	RemovedV2	0
gug	2	a	1	mother	N1	RemovedV2	0
gug	2	a	2	who	R1	RemovedV2	0
gug	2	a	3	the	D2	RemovedV2	0
gug	2	a	4	daughter	N2	RemovedV2	0
gug	2	a	5	that	R2	RemovedV2	0
gug	2	a	6	the	D3	RemovedV2	0
gug	2	a	7	sister	N3	RemovedV2	0
gug	2	a	8	found	V1	RemovedV2	0
gug	2	a	9	greeted	V3	RemovedV2	0
gug	2	a	10	the	D4	RemovedV2	0
gug	2	a	11	grandmother.	N4	RemovedV2	0
gug	7	b	0	The	D1	full	0
gug	7	b	1	pharmacist	N1	full	0
gug	7	b	2	who	R1	full	0
gug	7	b	3	the	D2	full	0
gug	7	b	4	button	N2	full	0
gug	7	b	5	that	R2	full	0
gug	7	b	6	the	D3	full	0
gug	7	b	7	stranger	N3	full	0
gug	7	b	8	saw	V1	full	0
gug	7	b	9	troubled	V2	full	0
gug	7	b	10	questioned	V3	full	0
gug	7	b	11	the	D4	full	0
gug	7	b	12	customer.	N4	full	0
gug	15	a	0	The	D1	RemovedV2	0
gug	15	a	1	cousin	N1	RemovedV2	0
gug	15	a	2	who	R1	RemovedV2	0
gug	15	a	3	the	D2	RemovedV2	0
gug	15	a	4	brother	N2	RemovedV2	0
gug	15	a	5	that	R2	RemovedV2	0
gug	15	a	6	the	D3	RemovedV2	0
gug	15	a	7	peasant	N3	RemovedV2	0
gug	15	a	8	described	V1	RemovedV2	0
gug	15	a	9	hated	V3	RemovedV2	0
gug	15	a	10	the	D4	RemovedV2	0
gug	15	a	11	uncle.	N4	RemovedV2	0
gug	2	a	0	The	D1	full	0
gug	2	a	1	mother	N1	full	0
gug	2	a	2	who	R1	full	0
gug	2	a	3	the	D2	full	0
gug	2	a	4	daughter	N2	full	0
gug	2	a	5	that	R2	full	0
gug	2	a	6	the	D3	full	0
gug	2	a	7	sister	N3	full	0
